user_id,tenant_label,match_rank,match_user_id,match_tenant_label,compatibility_score,top_drivers,explanation_short,explanation_long,top_driver_values
5,Tenant_005,4,18,Tenant_018,83.1,"cleanliness_level(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Privacy need, Routine structure.","Tenant_005 matches well with Tenant_018 (score 83.10%). Top drivers: Cleanliness level, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | privacy_need: 3 vs 3 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00)"
5,Tenant_005,5,158,Tenant_158,82.86,"cleanliness_level(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Privacy need, Routine structure.","Tenant_005 matches well with Tenant_158 (score 82.86%). Top drivers: Cleanliness level, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | privacy_need: 3 vs 3 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00)"
6,Tenant_006,1,151,Tenant_151,87.62,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Noise tolerance, Routine structure.","Tenant_006 matches well with Tenant_151 (score 87.62%). Top drivers: Cleanliness level, Noise tolerance, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | noise_tolerance: 3 vs 3 (similarity, 1.00) | routine_structure: 4 vs 4 (similarity, 1.00)"
6,Tenant_006,2,142,Tenant_142,83.1,"sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Privacy need, Sociability level.","Tenant_006 matches well with Tenant_142 (score 83.10%). Top drivers: Sleep schedule, Privacy need, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 4 vs 4 (similarity, 1.00) | privacy_need: 2 vs 2 (similarity, 1.00) | sociability_level: 2 vs 4 (complementarity, 1.00)"
6,Tenant_006,3,64,Tenant_064,82.14,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Noise tolerance, Sociability level.","Tenant_006 matches well with Tenant_064 (score 82.14%). Top drivers: Cleanliness level, Noise tolerance, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | noise_tolerance: 3 vs 3 (similarity, 1.00) | sociability_level: 2 vs 4 (complementarity, 1.00)"
6,Tenant_006,4,272,Tenant_272,82.14,"sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Privacy need, Routine structure.","Tenant_006 matches well with Tenant_272 (score 82.14%). Top drivers: Sleep schedule, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 4 vs 4 (similarity, 1.00) | privacy_need: 2 vs 2 (similarity, 1.00) | routine_structure: 4 vs 4 (similarity, 1.00)"
6,Tenant_006,5,102,Tenant_102,81.9,"cleanliness_level(mode=similarity, score=1.00, w=1.30); guest_tolerance(mode=similarity, score=1.00, w=1.00); noise_tolerance(mode=similarity, score=0.75, w=1.30)","High compatibility driven by Cleanliness level, Guest tolerance, Noise tolerance.","Tenant_006 matches well with Tenant_102 (score 81.90%). Top drivers: Cleanliness level, Guest tolerance, Noise tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | guest_tolerance: 5 vs 5 (similarity, 1.00) | noise_tolerance: 3 vs 2 (similarity, 0.75)"
7,Tenant_007,1,20,Tenant_020,85.48,"sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Privacy need, Routine structure.","Tenant_007 matches well with Tenant_020 (score 85.48%). Top drivers: Sleep schedule, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 3 vs 3 (similarity, 1.00) | privacy_need: 2 vs 2 (similarity, 1.00) | routine_structure: 1 vs 1 (similarity, 1.00)"
7,Tenant_007,2,18,Tenant_018,85.48,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20)","High compatibility driven by Cleanliness level, Noise tolerance, Sleep schedule.","Tenant_007 matches well with Tenant_018 (score 85.48%). Top drivers: Cleanliness level, Noise tolerance, Sleep schedule. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | noise_tolerance: 4 vs 4 (similarity, 1.00) | sleep_schedule: 3 vs 3 (similarity, 1.00)"
7,Tenant_007,3,282,Tenant_282,82.38,"cleanliness_level(mode=similarity, score=1.00, w=1.30); routine_structure(mode=similarity, score=1.00, w=1.00); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Routine structure, Sociability level.","Tenant_007 matches well with Tenant_282 (score 82.38%). Top drivers: Cleanliness level, Routine structure, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | routine_structure: 1 vs 1 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00)"
7,Tenant_007,4,86,Tenant_086,80.95,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20)","High compatibility driven by Cleanliness level, Noise tolerance, Sleep schedule.","Tenant_007 matches well with Tenant_086 (score 80.95%). Top drivers: Cleanliness level, Noise tolerance, Sleep schedule. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | noise_tolerance: 4 vs 4 (similarity, 1.00) | sleep_schedule: 3 vs 3 (similarity, 1.00)"
7,Tenant_007,5,286,Tenant_286,80.0,"cleanliness_level(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Sleep schedule, Sociability level.","Tenant_007 matches well with Tenant_286 (score 80.00%). Top drivers: Cleanliness level, Sleep schedule, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | sleep_schedule: 3 vs 3 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00)"
8,Tenant_008,1,130,Tenant_130,79.76,"cleanliness_level(mode=similarity, score=1.00, w=1.30); sociability_level(mode=complementarity, score=1.00, w=1.00); noise_tolerance(mode=similarity, score=0.75, w=1.30)","High compatibility driven by Cleanliness level, Sociability level, Noise tolerance.","Tenant_008 matches well with Tenant_130 (score 79.76%). Top drivers: Cleanliness level, Sociability level, Noise tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 3 vs 3 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00) | noise_tolerance: 5 vs 4 (similarity, 0.75)"
8,Tenant_008,2,242,Tenant_242,79.76,"sleep_schedule(mode=similarity, score=1.00, w=1.20); routine_structure(mode=similarity, score=1.00, w=1.00); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Routine structure, Sociability level.","Tenant_008 matches well with Tenant_242 (score 79.76%). Top drivers: Sleep schedule, Routine structure, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 2 vs 2 (similarity, 1.00) | routine_structure: 5 vs 5 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00)"
8,Tenant_008,3,267,Tenant_267,79.29,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20)","High compatibility driven by Cleanliness level, Noise tolerance, Sleep schedule.","Tenant_008 matches well with Tenant_267 (score 79.29%). Top drivers: Cleanliness level, Noise tolerance, Sleep schedule. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 3 vs 3 (similarity, 1.00) | noise_tolerance: 5 vs 5 (similarity, 1.00) | sleep_schedule: 2 vs 2 (similarity, 1.00)"
8,Tenant_008,4,167,Tenant_167,78.1,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sociability_level(mode=complementarity, score=1.00, w=1.00); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Sociability level, Guest tolerance.","Tenant_008 matches well with Tenant_167 (score 78.10%). Top drivers: Noise tolerance, Sociability level, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 5 vs 5 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00) | guest_tolerance: 5 vs 5 (similarity, 1.00)"
8,Tenant_008,5,214,Tenant_214,78.1,"noise_tolerance(mode=similarity, score=1.00, w=1.30); routine_structure(mode=similarity, score=1.00, w=1.00); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Routine structure, Guest tolerance.","Tenant_008 matches well with Tenant_214 (score 78.10%). Top drivers: Noise tolerance, Routine structure, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 5 vs 5 (similarity, 1.00) | routine_structure: 5 vs 5 (similarity, 1.00) | guest_tolerance: 5 vs 5 (similarity, 1.00)"
9,Tenant_009,1,244,Tenant_244,80.71,"sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Privacy need, Guest tolerance.","Tenant_009 matches well with Tenant_244 (score 80.71%). Top drivers: Sleep schedule, Privacy need, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 5 vs 5 (similarity, 1.00) | privacy_need: 5 vs 5 (similarity, 1.00) | guest_tolerance: 1 vs 1 (similarity, 1.00)"
9,Tenant_009,2,44,Tenant_044,77.38,"cleanliness_level(mode=similarity, score=1.00, w=1.30); sociability_level(mode=complementarity, score=1.00, w=1.00); noise_tolerance(mode=similarity, score=0.75, w=1.30)","High compatibility driven by Cleanliness level, Sociability level, Noise tolerance.","Tenant_009 matches well with Tenant_044 (score 77.38%). Top drivers: Cleanliness level, Sociability level, Noise tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 4 vs 4 (similarity, 1.00) | sociability_level: 2 vs 4 (complementarity, 1.00) | noise_tolerance: 1 vs 2 (similarity, 0.75)"
9,Tenant_009,3,34,Tenant_034,76.67,"privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Privacy need, Routine structure, Sociability level.","Tenant_009 matches well with Tenant_034 (score 76.67%). Top drivers: Privacy need, Routine structure, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","privacy_need: 5 vs 5 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00) | sociability_level: 2 vs 4 (complementarity, 1.00)"
