user_id,tenant_label,cleanliness_level,noise_tolerance,sleep_schedule,routine_structure,WFH_frequency,sociability_level,guest_tolerance,privacy_need,conflict_style,shared_spaces_usage
35,Tenant_035,3,4,1,5,2,5,1,5,4,4
36,Tenant_036,5,2,1,1,5,1,2,1,5,3
37,Tenant_037,3,1,1,1,1,5,1,4,3,3
38,Tenant_038,5,4,5,1,1,5,4,1,5,3
39,Tenant_039,1,5,4,1,1,3,3,5,2,1
40,Tenant_040,2,4,5,1,1,4,1,4,4,4
41,Tenant_041,4,1,4,2,1,2,4,3,4,5
42,Tenant_042,1,4,5,5,5,4,1,3,2,2
43,Tenant_043,4,3,5,3,3,3,1,1,2,2
44,Tenant_044,2,4,3,3,2,3,3,1,3,3
45,Tenant_045,2,2,5,3,1,3,5,5,4,4
46,Tenant_046,1,2,2,3,3,1,5,5,4,1
47,Tenant_047,2,3,3,2,3,4,1,2,3,4
48,Tenant_048,5,1,5,4,2,4,2,5,1,4
49,Tenant_049,2,2,1,5,5,5,4,2,3,1
50,Tenant_050,4,5,2,1,4,5,2,4,5,3
51,Tenant_051,4,2,2,4,4,5,2,1,4,4
52,Tenant_052,4,2,2,3,3,3,1,4,2,2
53,Tenant_053,4,1,3,4,2,4,1,5,5,1
54,Tenant_054,5,4,5,5,4,3,1,4,4,5
55,Tenant_055,3,2,5,1,3,1,1,4,3,3
56,Tenant_056,1,3,1,1,5,5,5,4,5,1
57,Tenant_057,4,4,1,5,4,3,1,5,4,5
58,Tenant_058,2,5,2,5,3,3,5,4,1,5
59,Tenant_059,4,1,1,3,3,1,5,2,1,4
60,Tenant_060,2,5,3,1,1,2,1,5,2,4
61,Tenant_061,2,4,5,4,5,4,3,4,4,4
62,Tenant_062,4,4,2,2,1,2,4,5,1,1
63,Tenant_063,5,4,1,2,2,5,2,3,3,1
64,Tenant_064,2,5,3,5,1,3,5,2,4,3
65,Tenant_065,2,4,3,3,1,1,4,4,3,4
66,Tenant_066,4,5,1,2,4,1,3,3,3,5
67,Tenant_067,2,4,5,1,3,4,2,3,1,2
68,Tenant_068,2,3,1,5,5,2,2,5,4,3
69,Tenant_069,4,4,2,4,1,4,5,3,5,1
70,Tenant_070,4,5,1,5,5,3,1,2,1,3
71,Tenant_071,1,2,3,4,1,4,3,2,1,3
72,Tenant_072,5,4,1,5,2,1,5,1,4,3
73,Tenant_073,5,2,5,5,1,1,3,2,4,3
74,Tenant_074,2,3,4,5,4,5,1,3,3,2
75,Tenant_075,5,1,1,4,3,5,1,2,4,4
76,Tenant_076,2,3,5,4,2,3,5,5,3,5
77,Tenant_077,1,4,5,5,1,2,1,1,1,3
78,Tenant_078,4,2,3,2,5,4,4,3,2,3
79,Tenant_079,4,2,5,3,2,3,2,1,5,3
80,Tenant_080,4,5,5,3,2,5,5,3,1,4
81,Tenant_081,5,2,5,3,1,4,3,5,4,1
82,Tenant_082,1,5,5,4,2,5,4,1,5,1
83,Tenant_083,5,1,2,4,5,4,5,4,2,2
84,Tenant_084,5,4,2,2,2,2,1,3,2,1
85,Tenant_085,1,5,3,3,5,3,1,4,3,3
86,Tenant_086,1,1,1,3,1,4,1,1,5,3
87,Tenant_087,1,2,5,5,3,1,1,4,3,3
88,Tenant_088,1,2,1,4,2,1,3,4,1,2
89,Tenant_089,4,1,1,3,3,4,4,1,5,3
90,Tenant_090,3,2,3,2,5,4,2,5,1,1
91,Tenant_091,3,1,5,2,2,4,3,4,3,4
92,Tenant_092,1,5,5,3,4,1,3,4,5,4
93,Tenant_093,3,5,4,4,3,1,2,5,3,5
94,Tenant_094,3,1,1,2,2,4,2,4,5,1
95,Tenant_095,1,5,1,5,3,5,1,4,3,3
96,Tenant_096,3,5,2,2,2,5,3,4,2,4
97,Tenant_097,5,5,4,1,1,2,5,2,3,1
98,Tenant_098,2,3,2,1,3,3,2,5,2,4
99,Tenant_099,2,4,2,4,4,5,2,4,3,3
100,Tenant_100,1,2,2,3,4,1,4,5,5,4
101,Tenant_101,4,3,3,4,5,5,5,3,5,5
102,Tenant_102,1,5,3,4,2,2,5,3,5,5
103,Tenant_103,4,1,2,4,3,2,2,4,4,4
104,Tenant_104,2,5,4,4,5,3,1,5,1,1
105,Tenant_105,1,4,1,5,3,5,4,5,5,1
106,Tenant_106,5,5,4,5,2,1,5,5,2,1
107,Tenant_107,3,1,5,2,4,1,2,2,5,4
108,Tenant_108,4,4,3,1,1,4,5,3,4,1
109,Tenant_109,3,5,1,4,4,1,4,5,2,3
110,Tenant_110,3,4,1,2,5,3,4,5,4,5
111,Tenant_111,1,2,5,1,1,3,3,2,2,3
112,Tenant_112,3,2,5,3,5,1,2,2,3,1
113,Tenant_113,5,5,2,5,2,1,4,5,1,3
114,Tenant_114,3,4,3,1,1,4,3,1,1,1
115,Tenant_115,1,1,3,3,5,1,3,5,4,4
116,Tenant_116,5,5,4,1,2,4,5,5,1,3
117,Tenant_117,2,2,2,5,4,4,5,2,4,4
118,Tenant_118,3,2,2,5,2,1,3,2,4,4
119,Tenant_119,1,5,2,2,3,2,5,5,4,2
120,Tenant_120,2,4,2,4,2,2,4,5,1,1
121,Tenant_121,2,2,3,1,2,4,1,5,4,5
122,Tenant_122,4,4,3,1,3,1,4,2,1,1
123,Tenant_123,5,2,2,3,5,2,3,5,4,5
124,Tenant_124,3,2,4,5,5,1,3,5,5,1
125,Tenant_125,1,3,1,1,2,1,4,4,4,4
126,Tenant_126,4,2,1,5,3,1,5,1,2,3
127,Tenant_127,5,1,4,1,3,5,5,3,4,3
128,Tenant_128,4,5,2,2,4,1,3,1,3,2
129,Tenant_129,5,5,3,4,5,5,2,4,4,5
130,Tenant_130,5,4,1,1,1,4,5,3,2,5
131,Tenant_131,3,2,5,5,5,2,4,5,2,5
132,Tenant_132,5,1,5,2,5,2,5,4,1,4
133,Tenant_133,4,4,4,1,4,2,4,5,5,5
134,Tenant_134,5,3,2,3,1,2,3,2,4,3
135,Tenant_135,3,4,1,4,4,2,5,4,1,4
136,Tenant_136,3,4,2,1,1,2,4,2,5,1
137,Tenant_137,4,2,1,2,2,2,3,4,4,5
138,Tenant_138,2,3,4,3,1,4,2,4,3,5
139,Tenant_139,2,4,4,2,4,1,4,2,4,1
140,Tenant_140,5,1,5,2,5,3,2,3,2,5
141,Tenant_141,1,1,2,3,1,5,2,1,2,1
142,Tenant_142,5,5,5,2,1,3,1,5,3,4
143,Tenant_143,4,3,2,3,3,3,5,4,1,3
144,Tenant_144,4,3,5,1,5,1,4,5,5,1
145,Tenant_145,4,5,3,3,2,1,2,2,4,2
146,Tenant_146,4,4,3,3,4,1,1,5,2,1
147,Tenant_147,4,3,3,4,2,2,3,2,1,5
148,Tenant_148,3,1,3,3,5,4,4,5,3,4
149,Tenant_149,2,1,1,3,1,2,2,1,2,4
150,Tenant_150,4,2,3,1,1,4,5,1,3,1
151,Tenant_151,1,3,4,4,5,4,1,1,4,3
152,Tenant_152,1,4,4,5,1,3,2,1,5,2
153,Tenant_153,1,5,1,1,1,3,5,1,2,4
154,Tenant_154,1,5,3,1,1,4,2,1,2,5
155,Tenant_155,3,4,3,5,4,4,4,2,4,5
156,Tenant_156,1,2,3,3,4,2,4,4,1,3
157,Tenant_157,4,5,5,2,3,2,4,5,5,4
158,Tenant_158,5,3,2,4,2,3,1,1,2,1
159,Tenant_159,1,2,5,2,5,1,4,2,5,5
160,Tenant_160,3,3,2,5,5,4,5,2,2,3
161,Tenant_161,3,1,3,1,5,2,2,2,5,4
162,Tenant_162,1,2,3,1,3,3,3,4,3,4
163,Tenant_163,5,5,5,4,4,2,5,5,2,4
164,Tenant_164,1,2,5,1,3,4,5,4,5,4
165,Tenant_165,3,2,2,1,5,4,4,3,1,4
166,Tenant_166,2,2,4,4,2,5,1,2,3,5
167,Tenant_167,4,2,2,4,1,1,2,3,3,3
168,Tenant_168,3,3,5,5,4,5,1,1,1,4
169,Tenant_169,1,1,5,1,4,3,2,1,5,2
170,Tenant_170,4,4,1,1,3,2,2,4,4,2
171,Tenant_171,1,2,5,5,4,3,1,5,1,3
172,Tenant_172,1,5,1,3,5,4,5,3,5,1
173,Tenant_173,2,2,4,3,5,5,2,5,1,1
174,Tenant_174,4,5,2,3,3,5,1,4,1,1
175,Tenant_175,4,3,2,5,5,5,2,1,2,2
176,Tenant_176,2,5,1,1,2,3,3,5,5,1
177,Tenant_177,3,4,2,5,3,4,5,5,4,5
178,Tenant_178,1,1,5,5,2,2,4,1,2,4
179,Tenant_179,5,5,3,3,1,2,2,3,1,2
180,Tenant_180,1,5,1,2,2,3,3,1,1,3
181,Tenant_181,1,1,2,1,1,5,4,5,1,3
182,Tenant_182,3,4,1,3,1,1,4,3,5,4
183,Tenant_183,1,2,1,2,2,3,2,3,5,2
184,Tenant_184,2,5,3,2,3,3,1,1,2,1
185,Tenant_185,2,1,5,4,5,4,2,5,4,1
186,Tenant_186,4,3,1,1,5,2,3,4,2,5
187,Tenant_187,5,1,2,2,1,3,4,5,3,5
188,Tenant_188,1,3,4,3,1,3,2,2,1,1
189,Tenant_189,1,4,1,4,3,5,1,4,1,3
190,Tenant_190,3,2,1,1,4,5,2,3,1,3
191,Tenant_191,2,1,3,5,2,1,5,4,2,5
192,Tenant_192,5,5,5,3,1,4,1,3,2,4
193,Tenant_193,4,4,4,2,5,1,3,3,1,1
194,Tenant_194,2,1,2,2,3,5,4,4,2,5
195,Tenant_195,4,5,4,3,2,2,2,3,5,5
196,Tenant_196,3,1,2,2,3,5,1,3,5,1
197,Tenant_197,3,3,5,4,2,4,5,2,2,1
198,Tenant_198,1,1,2,1,2,5,1,5,1,3
199,Tenant_199,5,1,3,4,1,4,5,5,2,4
200,Tenant_200,4,1,3,2,3,4,3,2,2,4
201,Tenant_201,2,4,3,5,3,4,4,4,2,1
202,Tenant_202,3,1,3,1,5,4,3,1,3,2
203,Tenant_203,1,5,4,1,5,4,2,1,5,5
204,Tenant_204,1,3,5,3,1,2,1,1,4,5
205,Tenant_205,4,3,2,3,1,1,5,2,4,1
206,Tenant_206,3,1,2,5,4,3,5,2,3,2
207,Tenant_207,5,4,3,1,5,1,1,3,2,3
208,Tenant_208,3,4,3,5,2,4,1,1,3,1
209,Tenant_209,4,5,1,3,3,2,2,4,3,1
210,Tenant_210,4,1,5,3,1,5,3,4,1,5
211,Tenant_211,3,3,4,1,3,2,5,1,5,1
212,Tenant_212,4,4,2,4,3,4,2,1,4,1
213,Tenant_213,3,1,1,2,4,2,3,1,2,1
214,Tenant_214,2,4,1,3,5,2,2,2,4,5
215,Tenant_215,3,4,2,3,1,4,5,2,4,3
216,Tenant_216,3,3,4,4,3,2,1,2,5,3
217,Tenant_217,4,2,1,4,1,3,1,5,4,1
218,Tenant_218,4,5,1,5,2,3,3,4,4,5
219,Tenant_219,1,5,5,5,4,2,4,4,3,3
220,Tenant_220,1,3,4,2,2,5,3,3,5,3
221,Tenant_221,2,4,1,2,1,4,4,2,1,3
222,Tenant_222,1,1,4,1,1,3,2,5,2,5
223,Tenant_223,3,4,2,5,5,5,2,5,4,5
224,Tenant_224,4,3,3,3,3,2,5,4,2,1
225,Tenant_225,1,5,1,5,3,5,4,2,1,4
226,Tenant_226,1,4,5,3,2,1,5,3,2,3
227,Tenant_227,2,5,2,4,4,3,1,2,1,4
228,Tenant_228,2,1,4,5,3,2,4,1,3,5
229,Tenant_229,3,5,2,4,5,4,3,2,4,5
230,Tenant_230,4,5,1,2,2,2,1,1,1,5
231,Tenant_231,2,2,4,2,2,4,1,1,2,4
232,Tenant_232,1,2,3,1,5,2,3,3,4,5
233,Tenant_233,4,2,2,5,4,5,1,4,3,1
234,Tenant_234,4,5,1,4,5,5,4,2,4,5
235,Tenant_235,1,3,5,3,4,5,5,1,1,2
236,Tenant_236,2,5,4,2,5,1,1,2,3,4
237,Tenant_237,1,3,2,2,5,4,4,4,2,2
238,Tenant_238,4,3,2,3,1,5,2,4,3,5
239,Tenant_239,5,2,3,4,2,1,4,5,3,1
240,Tenant_240,5,4,3,4,5,4,5,4,5,3
241,Tenant_241,3,1,5,5,5,2,4,3,3,5
242,Tenant_242,1,2,5,5,3,1,3,1,3,1
243,Tenant_243,1,2,1,1,2,3,5,5,4,4
244,Tenant_244,3,4,1,2,3,1,2,3,2,2
245,Tenant_245,3,1,5,5,2,1,3,2,4,2
246,Tenant_246,3,5,5,4,3,4,4,1,4,2
247,Tenant_247,4,5,4,3,5,2,5,4,1,4
248,Tenant_248,1,2,3,4,5,3,2,1,4,1
249,Tenant_249,4,1,1,2,1,5,3,2,5,4
250,Tenant_250,3,2,3,4,3,5,2,5,5,2
251,Tenant_251,1,3,3,1,4,1,4,5,1,5
252,Tenant_252,4,2,5,2,1,4,2,5,2,3
253,Tenant_253,4,2,4,3,3,4,1,4,2,4
254,Tenant_254,3,5,2,1,3,5,3,3,4,4
255,Tenant_255,1,5,4,2,1,3,2,3,4,1
256,Tenant_256,3,5,4,3,5,2,4,1,4,1
257,Tenant_257,1,3,3,1,3,3,4,4,2,4
258,Tenant_258,5,5,4,1,5,2,2,5,3,2
259,Tenant_259,2,1,1,2,1,5,4,5,5,3
260,Tenant_260,2,4,3,5,5,2,5,2,3,1
261,Tenant_261,2,1,1,1,2,4,5,2,3,2
262,Tenant_262,3,1,2,1,4,1,5,5,2,5
263,Tenant_263,5,5,3,3,3,1,1,5,3,1
264,Tenant_264,1,4,2,4,4,5,2,4,1,2
265,Tenant_265,4,4,3,2,5,4,1,3,4,2
266,Tenant_266,1,4,5,2,3,3,4,2,1,3
267,Tenant_267,4,3,4,5,5,4,1,3,5,3
268,Tenant_268,1,5,5,5,2,1,4,4,4,5
269,Tenant_269,5,4,2,2,1,1,4,5,3,2
270,Tenant_270,4,3,4,5,3,4,3,3,5,2
271,Tenant_271,3,2,3,3,2,4,5,5,4,3
272,Tenant_272,1,2,4,2,2,1,4,5,3,1
273,Tenant_273,1,3,1,5,3,3,3,1,1,1
274,Tenant_274,4,3,4,2,5,5,5,3,4,4
275,Tenant_275,3,5,1,4,2,5,4,3,3,3
276,Tenant_276,3,5,4,1,4,4,4,5,1,4
277,Tenant_277,5,2,1,2,2,5,1,4,5,3
278,Tenant_278,3,4,2,1,5,1,1,1,5,5
279,Tenant_279,3,2,5,5,5,1,5,5,5,2
280,Tenant_280,3,4,3,1,4,4,4,2,5,5
281,Tenant_281,2,4,4,2,2,4,2,2,2,3
282,Tenant_282,5,5,5,4,5,4,1,1,4,2
283,Tenant_283,1,1,3,5,3,3,5,4,4,1
284,Tenant_284,4,1,3,2,1,5,4,5,2,1
285,Tenant_285,1,3,1,5,1,4,4,3,3,4
286,Tenant_286,5,5,2,3,1,2,2,1,3,3
287,Tenant_287,4,4,2,1,2,2,5,4,5,3
288,Tenant_288,5,1,5,3,4,1,4,3,1,1
289,Tenant_289,3,4,2,2,5,5,1,2,3,5
290,Tenant_290,4,1,4,4,3,4,2,2,1,2
291,Tenant_291,3,1,2,5,3,2,5,3,4,5
292,Tenant_292,1,1,5,1,2,5,2,1,1,5
293,Tenant_293,1,5,2,5,1,1,1,2,4,1
294,Tenant_294,4,2,4,2,2,3,5,5,2,1
295,Tenant_295,4,4,1,5,4,5,2,3,2,1
296,Tenant_296,5,5,5,1,4,5,3,3,5,4
297,Tenant_297,5,5,1,2,5,3,1,2,3,5
298,Tenant_298,3,5,1,5,5,5,1,1,5,3
299,Tenant_299,4,5,1,4,4,1,1,5,4,2
300,Tenant_300,1,5,3,2,4,1,3,1,5,4
