user_id,tenant_label,cleanliness_level,noise_tolerance,sleep_schedule,routine_structure,WFH_frequency,sociability_level,guest_tolerance,privacy_need,conflict_style,shared_spaces_usage
40,Tenant_040,2,1,4,2,2,1,5,1,2,5
41,Tenant_041,4,2,1,3,1,2,5,4,4,3
42,Tenant_042,5,5,1,2,2,4,2,2,5,4
43,Tenant_043,3,5,4,2,2,3,3,4,5,5
44,Tenant_044,4,2,4,1,4,4,5,4,5,1
45,Tenant_045,5,4,2,2,1,4,5,3,5,3
46,Tenant_046,2,3,2,5,2,5,2,1,2,5
47,Tenant_047,5,3,3,1,5,2,3,2,1,3
48,Tenant_048,1,5,4,3,2,1,4,3,3,2
49,Tenant_049,5,3,3,4,2,5,1,5,5,3
50,Tenant_050,2,2,2,4,4,5,2,5,2,1
51,Tenant_051,2,4,4,3,4,2,4,2,2,4
52,Tenant_052,5,4,5,5,2,5,5,2,4,4
53,Tenant_053,2,1,2,4,4,4,2,3,3,1
54,Tenant_054,5,2,1,3,4,2,1,3,5,4
55,Tenant_055,1,3,2,2,5,4,5,2,2,2
56,Tenant_056,2,4,1,1,1,4,2,2,1,5
57,Tenant_057,1,2,3,2,4,5,2,2,3,4
58,Tenant_058,1,4,2,1,4,4,4,2,4,2
59,Tenant_059,5,1,4,2,3,1,1,5,2,1
60,Tenant_060,1,3,1,5,2,4,4,2,5,3
61,Tenant_061,5,1,3,5,1,1,4,5,3,4
62,Tenant_062,3,4,4,2,4,5,5,1,1,5
63,Tenant_063,4,3,4,2,2,3,2,5,1,5
64,Tenant_064,2,3,1,5,4,4,5,3,1,1
65,Tenant_065,3,4,2,1,1,1,5,2,1,4
66,Tenant_066,3,5,1,2,2,1,1,1,2,5
67,Tenant_067,5,2,5,3,3,5,4,2,1,2
68,Tenant_068,4,1,4,2,4,2,5,5,3,4
69,Tenant_069,5,5,5,2,1,3,1,2,2,3
70,Tenant_070,3,3,1,4,1,1,5,2,5,2
71,Tenant_071,3,3,3,3,4,3,1,2,2,5
72,Tenant_072,5,4,3,2,2,5,2,2,3,5
73,Tenant_073,5,2,1,4,5,4,4,2,2,5
74,Tenant_074,3,1,4,5,4,1,1,5,1,1
75,Tenant_075,2,2,1,3,1,1,2,5,1,3
76,Tenant_076,4,5,4,3,5,3,2,1,3,4
77,Tenant_077,3,4,2,1,2,2,2,2,3,3
78,Tenant_078,2,3,1,5,2,2,3,5,1,1
79,Tenant_079,5,5,4,4,4,2,2,5,1,3
80,Tenant_080,2,1,5,3,4,5,4,5,4,5
81,Tenant_081,1,3,4,5,2,2,2,4,5,5
82,Tenant_082,2,5,3,4,2,1,5,4,5,2
83,Tenant_083,3,2,3,3,4,3,2,2,3,4
84,Tenant_084,2,3,3,3,2,3,5,5,3,4
85,Tenant_085,3,5,3,1,1,3,5,5,4,2
86,Tenant_086,2,4,3,5,5,1,3,1,2,4
87,Tenant_087,3,4,1,1,2,5,1,2,1,4
88,Tenant_088,2,1,2,3,3,1,5,1,2,4
89,Tenant_089,2,2,2,2,3,3,5,3,5,5
90,Tenant_090,5,2,4,5,1,3,4,4,3,4
91,Tenant_091,2,2,4,5,5,4,4,4,1,4
92,Tenant_092,3,3,1,1,5,4,1,2,3,5
93,Tenant_093,5,3,4,3,2,5,5,1,1,3
94,Tenant_094,1,2,4,1,4,1,4,1,5,2
95,Tenant_095,5,2,3,5,3,2,2,3,5,3
96,Tenant_096,2,2,2,3,3,5,5,4,2,1
97,Tenant_097,3,1,5,1,4,4,1,1,1,1
98,Tenant_098,2,3,2,4,3,4,2,4,5,1
99,Tenant_099,2,4,4,1,1,2,3,5,1,4
100,Tenant_100,4,1,2,4,3,1,2,1,1,5
101,Tenant_101,5,1,3,5,4,1,2,1,3,3
102,Tenant_102,2,2,5,3,4,1,5,3,3,1
103,Tenant_103,4,4,4,3,3,2,2,2,4,1
104,Tenant_104,3,4,1,1,5,4,2,5,5,4
105,Tenant_105,1,2,3,3,5,4,5,2,5,3
106,Tenant_106,5,3,4,5,5,3,4,5,3,5
107,Tenant_107,4,5,4,3,3,2,4,2,5,4
108,Tenant_108,5,2,3,1,4,3,1,1,2,1
109,Tenant_109,1,4,2,3,5,3,5,5,5,4
110,Tenant_110,1,1,2,4,1,5,5,1,1,4
111,Tenant_111,5,5,3,5,4,2,5,3,4,3
112,Tenant_112,1,2,2,1,1,5,3,3,4,2
113,Tenant_113,5,4,1,4,5,3,1,3,3,3
114,Tenant_114,2,1,1,5,3,4,1,5,1,3
115,Tenant_115,1,2,1,4,3,3,2,5,2,4
116,Tenant_116,2,2,1,2,4,5,5,2,1,2
117,Tenant_117,1,1,5,1,3,5,1,1,5,1
118,Tenant_118,3,1,2,2,4,5,3,4,3,3
119,Tenant_119,1,2,5,2,3,3,3,2,1,1
120,Tenant_120,4,5,4,4,4,1,5,5,5,3
121,Tenant_121,3,5,5,5,4,1,4,1,3,2
122,Tenant_122,3,5,5,3,1,2,4,4,5,1
123,Tenant_123,4,2,2,1,2,2,3,4,1,5
124,Tenant_124,3,4,4,2,2,2,2,5,4,4
125,Tenant_125,2,4,3,4,5,3,1,2,4,3
126,Tenant_126,5,5,4,1,2,5,5,3,1,3
127,Tenant_127,1,5,1,1,4,5,5,3,5,5
128,Tenant_128,2,3,3,3,1,5,4,1,3,2
129,Tenant_129,2,1,4,3,1,3,2,3,5,3
130,Tenant_130,3,4,1,4,3,1,4,2,4,5
131,Tenant_131,3,2,3,2,2,4,2,5,3,5
132,Tenant_132,5,5,1,5,4,2,4,4,2,2
133,Tenant_133,4,5,3,4,2,5,1,5,5,3
134,Tenant_134,3,2,4,1,1,1,3,1,5,3
135,Tenant_135,5,1,4,1,1,4,1,3,3,3
136,Tenant_136,2,5,1,2,4,5,1,4,2,1
137,Tenant_137,1,3,3,3,2,3,4,3,3,4
138,Tenant_138,1,2,3,2,1,4,2,5,1,1
139,Tenant_139,4,4,4,3,4,1,5,5,4,1
140,Tenant_140,5,2,4,1,1,2,2,4,5,4
141,Tenant_141,1,5,1,5,2,1,3,1,2,4
142,Tenant_142,1,4,4,5,3,4,5,2,4,3
143,Tenant_143,2,2,4,2,3,5,2,4,3,1
144,Tenant_144,1,4,4,5,1,5,3,3,4,2
145,Tenant_145,4,2,1,1,1,1,5,2,2,5
146,Tenant_146,2,2,4,2,5,2,3,2,2,1
147,Tenant_147,2,1,5,2,5,2,4,3,3,4
148,Tenant_148,2,1,2,1,3,5,4,4,3,1
149,Tenant_149,4,2,1,3,1,3,2,1,1,2
150,Tenant_150,4,4,5,3,3,5,4,1,5,4
151,Tenant_151,2,3,3,4,4,2,5,1,2,1
152,Tenant_152,4,3,3,3,3,5,5,3,2,5
153,Tenant_153,5,1,2,1,4,3,3,1,4,2
154,Tenant_154,5,4,3,4,4,5,2,3,1,2
155,Tenant_155,5,3,5,4,4,4,4,2,2,4
156,Tenant_156,2,5,5,1,3,1,4,3,3,5
157,Tenant_157,4,3,3,3,5,3,4,4,2,1
158,Tenant_158,2,4,3,2,5,5,4,3,4,4
159,Tenant_159,3,5,4,2,1,1,4,5,4,1
160,Tenant_160,2,2,2,2,5,2,5,2,5,2
161,Tenant_161,1,4,2,4,4,3,5,1,5,4
162,Tenant_162,1,4,4,4,4,2,3,4,5,1
163,Tenant_163,5,4,2,1,4,4,3,2,2,5
164,Tenant_164,5,3,1,3,5,4,2,5,5,4
165,Tenant_165,1,4,2,3,4,3,2,3,5,4
166,Tenant_166,1,3,2,5,4,3,1,3,4,2
167,Tenant_167,2,5,1,2,2,1,5,5,3,4
168,Tenant_168,4,5,4,5,2,1,2,4,4,5
169,Tenant_169,2,3,5,3,5,3,2,5,1,2
170,Tenant_170,5,2,4,5,4,1,5,1,2,1
171,Tenant_171,2,4,5,3,3,3,3,3,3,3
172,Tenant_172,4,2,5,2,5,5,3,3,1,1
173,Tenant_173,3,2,3,4,1,2,2,4,5,3
174,Tenant_174,4,3,5,3,2,4,1,1,1,3
175,Tenant_175,3,4,3,1,4,2,5,5,1,4
176,Tenant_176,3,3,5,5,1,2,3,2,3,4
177,Tenant_177,1,1,3,4,4,3,2,5,3,5
178,Tenant_178,2,1,2,5,5,1,5,5,4,2
179,Tenant_179,2,5,3,1,1,3,5,5,2,4
180,Tenant_180,4,1,3,5,2,5,4,1,5,3
181,Tenant_181,4,2,4,4,1,4,1,4,2,1
182,Tenant_182,5,4,4,2,4,4,4,4,3,1
183,Tenant_183,4,2,2,5,3,1,3,3,4,2
184,Tenant_184,3,1,5,3,3,5,5,2,2,2
185,Tenant_185,5,1,2,2,1,5,2,3,1,1
186,Tenant_186,3,5,5,4,5,5,3,2,4,4
187,Tenant_187,2,5,2,5,1,2,1,2,1,5
188,Tenant_188,4,4,3,4,3,1,2,1,1,2
189,Tenant_189,3,5,1,2,3,4,3,1,1,4
190,Tenant_190,1,4,4,1,2,3,5,3,4,1
191,Tenant_191,2,3,4,2,2,2,1,5,1,4
192,Tenant_192,2,4,5,3,3,1,5,1,4,3
193,Tenant_193,4,2,5,4,2,5,1,1,1,2
194,Tenant_194,5,1,1,2,2,5,4,5,1,3
195,Tenant_195,4,1,1,4,3,2,2,3,3,4
196,Tenant_196,5,2,3,2,1,2,2,5,5,1
197,Tenant_197,3,4,3,3,3,3,5,1,5,2
198,Tenant_198,4,2,5,1,5,3,1,1,1,1
199,Tenant_199,2,2,3,4,3,2,2,2,1,2
200,Tenant_200,1,5,2,3,4,4,1,5,5,3
201,Tenant_201,1,4,5,1,3,3,4,5,1,2
202,Tenant_202,1,2,4,5,2,4,5,2,1,4
203,Tenant_203,2,1,4,1,5,1,5,3,5,3
204,Tenant_204,3,2,3,4,2,4,3,4,1,4
205,Tenant_205,4,3,5,5,5,5,3,3,5,4
206,Tenant_206,2,5,1,4,4,5,3,1,2,1
207,Tenant_207,5,3,5,1,3,4,1,1,2,3
208,Tenant_208,4,5,3,2,4,3,2,2,3,3
209,Tenant_209,2,2,3,3,1,1,1,5,5,5
210,Tenant_210,1,5,5,5,3,4,1,4,3,3
211,Tenant_211,2,2,1,4,4,1,3,1,2,4
212,Tenant_212,5,2,3,3,3,3,2,1,1,3
213,Tenant_213,3,3,3,5,4,4,4,4,1,2
214,Tenant_214,4,5,4,5,1,2,5,5,2,3
215,Tenant_215,2,2,1,4,1,1,5,4,1,4
216,Tenant_216,3,5,2,4,1,3,2,5,3,3
217,Tenant_217,2,1,3,1,5,4,3,4,1,4
218,Tenant_218,5,3,5,2,2,2,2,3,2,2
219,Tenant_219,4,4,4,4,1,3,2,5,1,5
220,Tenant_220,1,2,5,3,1,5,1,4,1,4
221,Tenant_221,5,3,5,3,4,2,1,5,3,5
222,Tenant_222,4,2,1,1,2,1,2,3,3,3
223,Tenant_223,5,2,1,5,2,5,4,2,4,1
224,Tenant_224,1,2,4,5,2,4,5,3,1,1
225,Tenant_225,1,4,5,4,5,3,1,2,4,3
226,Tenant_226,1,4,4,3,3,1,5,1,2,2
227,Tenant_227,2,2,3,3,4,2,3,1,1,4
228,Tenant_228,4,3,2,5,1,3,2,5,2,2
229,Tenant_229,5,2,3,4,1,4,4,3,3,5
230,Tenant_230,1,4,3,3,5,2,3,1,3,4
231,Tenant_231,2,1,4,1,2,4,3,2,2,4
232,Tenant_232,2,4,4,1,1,4,3,3,2,3
233,Tenant_233,1,4,1,1,3,1,3,5,4,1
234,Tenant_234,5,1,5,5,2,2,3,5,1,1
235,Tenant_235,2,4,1,3,3,1,1,1,1,1
236,Tenant_236,2,1,1,4,5,4,4,4,5,5
237,Tenant_237,2,1,3,2,2,5,3,4,2,2
238,Tenant_238,3,3,5,2,4,3,4,3,1,1
239,Tenant_239,4,1,2,2,1,5,4,5,4,2
240,Tenant_240,5,2,4,4,4,4,2,4,2,3
241,Tenant_241,3,2,4,3,5,4,1,1,1,4
242,Tenant_242,4,4,2,5,4,1,3,2,3,5
243,Tenant_243,2,3,1,4,5,2,1,2,4,1
244,Tenant_244,2,3,5,3,4,5,1,5,4,2
245,Tenant_245,5,5,3,5,3,4,5,4,4,3
246,Tenant_246,1,4,2,5,1,4,5,1,2,1
247,Tenant_247,1,1,2,3,3,5,4,2,2,4
248,Tenant_248,3,4,5,2,1,2,1,5,2,5
249,Tenant_249,2,2,5,1,5,1,3,5,5,5
250,Tenant_250,5,5,1,5,5,5,2,3,5,1
251,Tenant_251,3,2,4,4,2,2,5,2,5,2
252,Tenant_252,4,5,1,4,4,5,1,4,3,1
253,Tenant_253,3,2,4,1,5,1,1,1,5,4
254,Tenant_254,2,3,5,3,1,3,2,1,1,3
255,Tenant_255,1,5,2,1,4,5,5,3,1,3
256,Tenant_256,1,4,2,4,5,4,5,5,5,4
257,Tenant_257,3,4,2,1,3,2,5,1,1,2
258,Tenant_258,1,2,3,2,1,5,5,5,1,1
259,Tenant_259,1,5,4,4,1,4,1,3,1,2
260,Tenant_260,2,4,3,3,1,1,1,4,5,3
261,Tenant_261,2,4,4,2,4,4,1,3,5,4
262,Tenant_262,5,5,3,1,1,1,5,3,1,5
263,Tenant_263,4,4,5,3,2,5,4,2,3,5
264,Tenant_264,3,3,3,1,4,3,3,2,2,3
265,Tenant_265,1,1,1,4,5,1,4,2,1,4
266,Tenant_266,1,4,2,2,4,4,1,2,2,2
267,Tenant_267,3,5,2,4,4,3,5,2,1,3
268,Tenant_268,1,4,2,5,5,2,3,5,1,4
269,Tenant_269,5,1,3,1,2,2,1,5,5,4
270,Tenant_270,1,3,1,2,4,3,5,4,2,3
271,Tenant_271,4,4,5,1,4,5,2,3,5,5
272,Tenant_272,3,1,4,4,5,5,5,2,1,1
273,Tenant_273,5,5,4,3,2,4,5,5,5,2
274,Tenant_274,5,1,3,1,3,5,5,2,5,5
275,Tenant_275,3,2,5,5,2,2,2,3,1,4
276,Tenant_276,4,2,2,2,3,4,2,3,2,1
277,Tenant_277,5,1,1,3,5,3,3,3,3,3
278,Tenant_278,3,1,3,2,5,5,1,1,2,4
279,Tenant_279,1,5,1,1,4,4,5,4,5,2
280,Tenant_280,3,5,1,2,4,4,2,2,4,4
281,Tenant_281,2,2,4,5,4,3,3,1,1,2
282,Tenant_282,2,3,2,1,4,1,4,3,1,4
283,Tenant_283,1,4,1,5,2,5,3,3,5,2
284,Tenant_284,1,1,2,4,5,5,1,1,3,2
285,Tenant_285,1,1,3,5,5,4,4,1,1,4
286,Tenant_286,2,2,3,3,5,1,1,1,4,4
287,Tenant_287,5,3,2,2,5,1,3,5,4,1
288,Tenant_288,3,1,4,2,4,4,5,2,3,3
289,Tenant_289,2,4,1,1,2,2,3,5,5,1
290,Tenant_290,2,3,4,2,2,2,4,4,5,1
291,Tenant_291,5,3,2,5,3,2,4,2,2,2
292,Tenant_292,2,4,4,1,3,3,4,1,5,3
293,Tenant_293,2,3,3,4,2,4,2,3,1,3
294,Tenant_294,3,3,1,3,5,5,1,5,4,4
295,Tenant_295,5,5,2,2,4,5,1,1,1,5
296,Tenant_296,4,1,4,5,4,2,3,1,3,5
297,Tenant_297,2,1,4,4,5,5,3,4,4,1
298,Tenant_298,1,4,3,4,1,4,2,5,4,2
299,Tenant_299,4,5,1,1,3,1,4,5,4,1
300,Tenant_300,3,2,3,4,1,4,1,3,1,2
